30,815,872,64,19,1321,0,1,0,0,0
2578,2496,870,71,5,1161,0,0,1,1,0
2871,182,645,20,5,88,70,71,160,163,9
3083,272,0,0,16,1411,7,19,3,5,44
2189,428,0,14,5,2888,15,9,20,19,2
2318,2384,980,81,19,706,0,3,2,5,1
462,2286,0,64,19,1601,3,1,1,3,1
2660,182,645,20,5,355,70,71,160,163,9
3467,2094,0,0,18,2431,0,0,1,0,1
2590,809,872,81,19,3292,0,0,0,1,0
2439,2374,944,41,5,1805,1,3,1,3,0
2201,215,944,68,10,2342,18,12,22,41,0
3259,1954,364,29,19,3097,34,32,58,33,19
2031,789,0,0,16,365,0,0,2,4,0
3083,1013,202,28,3,3517,7,6,3,5,1
2439,215,944,68,10,2305,18,12,22,41,0
2699,182,645,20,5,1636,70,71,160,163,9
2699,2000,0,0,19,1411,18,9,8,5,8
2836,1077,920,81,5,1049,3,4,4,3,1
285,1153,912,79,5,3092,0,1,0,1,0
2148,735,1168,50,19,828,0,4,1,2,0
1389,875,197,0,16,1142,2,1,1,1,0
1981,1113,697,43,5,4028,40,29,69,76,7
3153,1062,0,81,16,804,3,3,3,1,1
77,2203,19,78,16,1636,1,0,0,0,0
3083,1984,438,6,5,1397,3,7,11,2,3
1608,1113,697,43,5,1809,40,29,69,76,7
462,2659,1099,64,19,3351,0,0,2,0,2
3807,2116,655,43,1,2343,0,1,1,0,0
1911,2178,476,34,19,1214,0,0,0,1,1
584,1113,697,43,5,2342,40,29,69,76,7
2231,2037,873,55,19,1670,1,0,0,0,0
1142,2531,924,80,19,811,1,1,0,0,0
3744,2335,397,14,19,1866,28,23,38,34,7
357,2739,925,4,19,1066,3,4,2,3,1
1295,2654,788,64,19,1821,36,33,15,19,8
1051,1653,59,64,5,3671,1,0,4,1,0
3628,2060,0,0,16,1713,0,0,0,0,0
3174,2842,0,0,16,4267,0,0,0,0,1
1790,1564,944,39,19,2326,2,1,1,4,0
3561,1744,944,14,19,1877,33,24,32,35,5
3639,1556,0,0,19,575,0,1,1,0,0
2604,2000,0,0,19,1411,18,9,8,5,8
117,2236,486,0,16,202,6,6,4,6,1
3292,1278,1165,64,19,1920,1,1,1,3,0
1911,215,944,68,10,360,18,12,22,41,0
3098,409,0,0,16,1317,11,43,8,5,105
1854,1371,814,48,19,3083,13,22,11,4,2
3414,1549,0,0,19,2910,0,0,0,0,1
3653,272,0,0,16,264,7,19,3,5,44
3207,2332,397,64,19,510,30,30,42,23,18
2318,2001,0,0,19,2522,11,5,7,2,5
438,1570,51,71,19,2153,1,10,3,2,1
3467,113,397,43,5,1058,1,0,0,1,0
3827,2541,868,64,19,2244,1,2,2,0,1
3509,1286,784,16,5,199,0,0,2,0,0
3326,680,793,16,16,2157,0,0,1,0,0
3326,775,696,43,19,2927,63,114,51,37,61
2439,1417,952,3,19,1682,31,39,31,37,8
2506,200,0,64,5,2552,0,0,0,1,0
2357,1900,0,20,5,3164,0,2,1,4,0
3432,2432,50,43,19,1080,9,11,10,7,3
2344,1368,788,83,19,2927,1,0,0,0,0
2397,867,0,64,16,689,1,0,0,1,0
3222,1386,883,55,21,2193,0,3,0,0,3
1398,981,1133,64,5,1030,1,0,1,0,1
672,1954,364,29,19,4052,34,32,58,33,19
1094,775,696,43,19,2806,63,114,51,37,61
1747,1879,0,16,19,699,1,0,0,0,0
2065,2335,397,14,19,591,28,23,38,34,7
3467,2674,397,71,5,2153,12,6,2,2,3
3303,1954,364,29,19,811,34,32,58,33,19
3331,49,371,3,5,2966,0,0,0,1,0
1790,660,648,0,16,1944,0,0,0,1,0
1858,182,645,20,5,1838,70,71,160,163,9
1982,1013,202,28,3,1741,7,6,3,5,1
3516,845,954,43,5,1249,0,0,1,0,0
3683,2695,0,0,16,1439,1,0,0,0,0
3138,2285,0,0,19,373,10,6,6,6,4
2526,1837,369,14,5,2689,1,0,1,0,0
3122,1230,788,39,5,1411,3,0,4,2,0
3740,2633,454,81,5,1586,0,0,1,0,0
2872,2460,0,0,16,2857,0,1,0,0,0
3811,1528,0,64,19,3517,2,5,2,8,0
2699,1076,0,14,5,825,0,0,1,0,0
3083,263,368,64,5,1918,2,3,5,7,3
3690,284,916,71,19,1662,0,1,4,3,0
1553,571,952,41,5,1506,0,4,2,8,0
3796,1336,952,12,5,4341,11,10,21,16,4
963,1316,911,64,16,3414,0,1,0,0,0
3326,1417,952,3,19,3526,31,39,31,37,8
679,2332,397,64,19,257,30,30,42,23,18
3083,2241,0,16,19,1650,0,0,0,1,0
3663,1954,364,29,19,453,34,32,58,33,19
2885,1954,364,29,19,2833,34,32,58,33,19
3747,923,0,14,5,1732,5,4,4,5,3
3343,2377,1079,71,14,2355,0,0,0,1,0
2318,2867,843,14,19,314,2,3,4,3,0
3053,1783,204,78,16,4238,1,0,0,0,0
3297,1993,0,0,16,2420,0,0,0,1,0
3053,308,0,0,16,1047,1,1,0,0,0
3818,911,0,0,16,1586,0,0,0,0,1
3381,52,777,25,5,1066,2,2,3,1,0
2889,1953,787,25,19,2899,7,6,5,7,0
2939,775,696,43,19,1551,63,114,51,37,61
30,182,645,20,5,2667,70,71,160,163,9
569,945,718,55,5,2571,0,0,4,0,0
1842,2332,397,64,19,3742,30,30,42,23,18
3467,684,226,16,5,668,0,0,2,1,0
2414,2674,397,71,5,2153,12,6,2,2,3
3040,2498,545,81,19,1805,26,41,32,40,11
1331,2402,0,81,19,2766,14,6,10,10,1
2520,778,632,78,5,3532,0,1,4,7,0
3467,2153,929,81,19,2359,19,6,16,14,2
2189,182,645,20,5,4264,70,71,160,163,9
2914,16,0,14,19,1595,2,1,4,4,0
1105,1779,829,81,5,2159,1,2,2,3,0
462,272,0,0,16,4346,7,19,3,5,44
